time, ticks/second, set point
right motor

87943320.00, 2371.44, 300.00
87951328.00, 2498.75, 300.00
87959328.00, 2372.63, 300.00
87967344.00, 2497.50, 300.00
87975344.00, 2373.81, 300.00
87983352.00, 2497.50, 300.00
87991360.00, 2372.63, 300.00
87999376.00, 2496.26, 300.00
88007376.00, 2497.50, 300.00
88015392.00, 2497.50, 300.00
88023392.00, 2497.50, 300.00
88031400.00, 2498.75, 300.00
88039416.00, 2619.76, 300.00
88047424.00, 2496.26, 300.00
88055432.00, 2498.75, 300.00
88063440.00, 2622.38, 300.00
88071440.00, 2498.75, 300.00
88079456.00, 2496.26, 300.00
88087464.00, 2497.50, 300.00
88095472.00, 2497.50, 300.00
88103480.00, 2497.50, 300.00
88111504.00, 2491.28, 300.00
88119520.00, 2372.63, 300.00
88127520.00, 2497.50, 300.00
88135536.00, 2497.50, 300.00
88143536.00, 2497.50, 300.00
88151552.00, 2371.44, 300.00
88159568.00, 2496.26, 300.00
88167568.00, 2497.50, 300.00
88175584.00, 2496.26, 300.00
88183592.00, 2497.50, 300.00
88191600.00, 2496.26, 300.00
88199608.00, 2498.75, 300.00
88207616.00, 2497.50, 300.00
88215632.00, 2496.26, 300.00
88223640.00, 2496.26, 300.00
88231648.00, 2373.81, 300.00
88239648.00, 2498.75, 300.00
88247656.00, 2372.63, 300.00
88255664.00, 2497.50, 300.00
88263672.00, 2497.50, 300.00
88271680.00, 2497.50, 300.00
88279680.00, 2498.75, 300.00
88287696.00, 2497.50, 300.00
88295696.00, 2498.75, 300.00
88303704.00, 2497.50, 300.00
88311712.00, 2497.50, 300.00
88319712.00, 2623.69, 300.00
88327728.00, 2621.07, 300.00
88335736.00, 2497.50, 300.00
88343744.00, 2623.69, 300.00
88351760.00, 2619.76, 300.00
88359760.00, 2622.38, 300.00
88367792.00, 2617.15, 300.00
88375808.00, 2618.45, 300.00
88383808.00, 2623.69, 300.00
88391824.00, 2497.50, 300.00
88399824.00, 2623.69, 300.00
88407832.00, 2622.38, 300.00
88415840.00, 2497.50, 300.00
88423848.00, 2497.50, 300.00
88431856.00, 2497.50, 300.00
88439856.00, 2623.69, 300.00
