time (us), tick speed, set point
left motor

11153428.00, 0.00, 0.00
11161440.00, 0.00, 0.00
11169448.00, 0.00, 0.00
11177452.00, 0.00, 0.00
11185464.00, 0.00, 0.00
11193472.00, 0.00, 0.00
11201484.00, 0.00, 0.00
11209488.00, 0.00, 0.00
11217496.00, 0.00, 0.00
11225504.00, 0.00, 0.00
11233516.00, 0.00, 0.00
11241524.00, 0.00, 0.00
11249532.00, 0.00, 0.00
11257540.00, 0.00, 0.00
11265548.00, 0.00, 0.00
11273556.00, 0.00, 0.00
11281564.00, 0.00, 0.00
11289572.00, 0.00, 0.00
11297580.00, 0.00, 0.00
11305588.00, 0.00, 0.00
11313596.00, 0.00, 0.00
11321604.00, 0.00, 0.00
11329612.00, 0.00, 0.00
11337620.00, 0.00, 0.00
11345624.00, 0.00, 0.00
11353632.00, 0.00, 0.00
11361640.00, 0.00, 0.00
11369648.00, 0.00, 0.00
11377656.00, 0.00, 0.00
11385664.00, 0.00, 0.00
11393672.00, 0.00, 0.00
11401680.00, 0.00, 0.00
11409688.00, 0.00, 0.00
11417696.00, 0.00, 0.00
11425704.00, 0.00, 0.00
11433712.00, 0.00, 0.00
11441720.00, 0.00, 0.00
11449732.00, 0.00, 0.00
11457740.00, 0.00, 0.00
11465748.00, 0.00, 0.00
11473760.00, 0.00, 0.00
11481764.00, 0.00, 0.00
11489772.00, 0.00, 0.00
11497780.00, 0.00, 0.00
11505788.00, 0.00, 0.00
11513796.00, 0.00, 0.00
11521804.00, 0.00, 0.00
11529812.00, 0.00, 0.00
11537820.00, 0.00, 0.00
11545828.00, 0.00, 0.00
11553836.00, 0.00, 0.00
11561844.00, 0.00, 0.00
11569848.00, 0.00, 0.00
11577860.00, 0.00, 0.00
11585868.00, 0.00, 0.00
11593876.00, 0.00, 0.00
11601884.00, 0.00, 0.00
11609892.00, 0.00, 0.00
11617900.00, 0.00, 0.00
11625908.00, 0.00, 0.00
11633916.00, 0.00, 0.00
11641924.00, 0.00, 0.00
11649932.00, 0.00, 0.00
11657940.00, 0.00, 0.00
11665948.00, 0.00, 0.00
11673956.00, 0.00, 0.00
11681964.00, 0.00, 0.00
11689972.00, 0.00, 0.00
11697980.00, 0.00, 0.00
11705988.00, 0.00, 0.00
11713996.00, 0.00, 0.00
11722004.00, 0.00, 0.00
11730012.00, 0.00, 0.00
11738020.00, 0.00, 0.00
11746028.00, 0.00, 0.00
11754036.00, 0.00, 0.00
11762044.00, 0.00, 0.00
11770052.00, 0.00, 0.00
11778064.00, 0.00, 0.00
11786072.00, 0.00, 0.00
11794080.00, 0.00, 0.00
11802088.00, 0.00, 0.00
11810096.00, 0.00, 0.00
11818104.00, 0.00, 0.00
11826112.00, 0.00, 0.00
12833948.00, 0.00, 500.00
12841960.00, 0.00, 500.00
12849968.00, 0.00, 500.00
12857972.00, 499.75, 500.00
12865984.00, 998.50, 500.00
12873992.00, 1373.63, 500.00
12882020.00, 1743.90, 500.00
12890028.00, 2122.88, 500.00
12898032.00, 2123.94, 500.00
12906044.00, 2246.63, 500.00
12914056.00, 2371.44, 500.00
12922064.00, 2497.50, 500.00
12930072.00, 2497.50, 500.00
12938080.00, 2622.38, 500.00
12946092.00, 2621.07, 500.00
12954100.00, 2747.25, 500.00
12962108.00, 2747.25, 500.00
12970112.00, 2748.63, 500.00
12978124.00, 2870.69, 500.00
12986136.00, 2995.51, 500.00
12994144.00, 2872.13, 500.00
13002156.00, 2995.51, 500.00
13010160.00, 2998.50, 500.00
13018168.00, 2997.00, 500.00
13026176.00, 2997.00, 500.00
13034188.00, 3120.32, 500.00
13042196.00, 3121.88, 500.00
13050228.00, 3237.05, 500.00
13058256.00, 3114.10, 500.00
13066264.00, 3371.63, 500.00
13074268.00, 3248.38, 500.00
13082276.00, 3371.63, 500.00
13090288.00, 3494.76, 500.00
13098292.00, 3373.31, 500.00
13106300.00, 3496.50, 500.00
13114304.00, 3498.25, 500.00
13122312.00, 3496.50, 500.00
13130348.00, 3608.76, 500.00
13138356.00, 3496.50, 500.00
13146360.00, 3623.19, 500.00
13154364.00, 3623.19, 500.00
13162372.00, 3621.38, 500.00
13170380.00, 3746.25, 500.00
13178384.00, 3623.19, 500.00
13186396.00, 3744.38, 500.00
13194404.00, 3746.25, 500.00
13202412.00, 3621.38, 500.00
13210420.00, 3746.25, 500.00
13218428.00, 3746.25, 500.00
13226432.00, 3748.13, 500.00
13234440.00, 3746.25, 500.00
13242444.00, 3748.13, 500.00
13250452.00, 3746.25, 500.00
13258460.00, 3621.38, 500.00
13266468.00, 3746.25, 500.00
13274476.00, 3746.25, 500.00
13282480.00, 3873.06, 500.00
13290520.00, 3855.72, 500.00
13298528.00, 3871.13, 500.00
13306536.00, 3871.13, 500.00
13314544.00, 3871.13, 500.00
13322552.00, 3996.00, 500.00
13330560.00, 3871.13, 500.00
13338568.00, 3871.13, 500.00
13346576.00, 3996.00, 500.00
13354600.00, 3988.04, 500.00
13362612.00, 3869.20, 500.00
13370616.00, 3998.00, 500.00
13378624.00, 3996.00, 500.00
13386632.00, 3996.00, 500.00
13394644.00, 3994.01, 500.00
13402648.00, 3998.00, 500.00
13410656.00, 3996.00, 500.00
13418660.00, 3998.00, 500.00
13426668.00, 3871.13, 500.00
13434676.00, 3996.00, 500.00
13442688.00, 3869.20, 500.00
13450696.00, 3996.00, 500.00
13458708.00, 3869.20, 500.00
13466716.00, 3871.13, 500.00
13474728.00, 3869.20, 500.00
13482736.00, 3996.00, 500.00
13490744.00, 3871.13, 500.00
13498752.00, 4120.88, 500.00
13506756.00, 3998.00, 500.00
13514788.00, 4108.57, 500.00
13522792.00, 3998.00, 500.00
13530800.00, 4120.88, 500.00
13538816.00, 4116.77, 500.00
13546820.00, 3998.00, 500.00
13554828.00, 4120.88, 500.00
13562832.00, 4122.94, 500.00
13570844.00, 4118.82, 500.00
13578852.00, 4120.88, 500.00
13586864.00, 4118.82, 500.00
13594876.00, 4118.82, 500.00
13602892.00, 4116.77, 500.00
13610916.00, 4112.66, 500.00
13618924.00, 3996.00, 500.00
13626936.00, 4118.82, 500.00
13634940.00, 3998.00, 500.00
13642948.00, 4120.88, 500.00
13650964.00, 3992.02, 500.00
13658996.00, 3984.06, 500.00
13667008.00, 3994.01, 500.00
13675020.00, 3994.01, 500.00
13683032.00, 3994.01, 500.00
13691036.00, 4122.94, 500.00
13699040.00, 4122.94, 500.00
13707052.00, 4118.82, 500.00
13715056.00, 4122.94, 500.00
13723064.00, 4120.88, 500.00
13731068.00, 4122.94, 500.00
13739100.00, 4233.07, 500.00
13747108.00, 4120.88, 500.00
13755120.00, 4118.82, 500.00
13763148.00, 4235.18, 500.00
13771152.00, 4122.94, 500.00
13779160.00, 4120.88, 500.00
13787164.00, 4247.88, 500.00
13795168.00, 4122.94, 500.00
13803176.00, 4120.88, 500.00
13811180.00, 4122.94, 500.00
13819188.00, 4120.88, 500.00
13827192.00, 4122.94, 500.00
13835200.00, 4120.88, 500.00
13843208.00, 3996.00, 500.00
13851220.00, 3994.01, 500.00
13859228.00, 3996.00, 500.00
13867236.00, 4120.88, 500.00
13875240.00, 3998.00, 500.00
13883252.00, 4118.82, 500.00
13891260.00, 4120.88, 500.00
13899272.00, 4118.82, 500.00
13907280.00, 4245.75, 500.00
13915288.00, 4120.88, 500.00
13923296.00, 4245.75, 500.00
13931308.00, 4118.82, 500.00
13939316.00, 4120.88, 500.00
13947320.00, 4247.88, 500.00
13955332.00, 4118.82, 500.00
13963344.00, 4243.63, 500.00
13971348.00, 4122.94, 500.00
13979356.00, 4120.88, 500.00
13987392.00, 4230.96, 500.00
13995404.00, 4118.82, 500.00
14003408.00, 4122.94, 500.00
14011416.00, 4120.88, 500.00
14019420.00, 4122.94, 500.00
14027424.00, 3998.00, 500.00
14035436.00, 4118.82, 500.00
14043444.00, 3996.00, 500.00
14051448.00, 3998.00, 500.00
14059456.00, 3996.00, 500.00
14067460.00, 4122.94, 500.00
14075496.00, 4106.52, 500.00
14083516.00, 4114.71, 500.00
14091524.00, 4120.88, 500.00
14099532.00, 4120.88, 500.00
14107540.00, 4120.88, 500.00
14115544.00, 4247.88, 500.00
14123556.00, 4118.82, 500.00
14131564.00, 4120.88, 500.00
14139576.00, 4118.82, 500.00
14147592.00, 4241.52, 500.00
14155600.00, 4245.75, 500.00
14163608.00, 4120.88, 500.00
14171620.00, 4243.63, 500.00
14179632.00, 4118.82, 500.00
14187640.00, 4245.75, 500.00
14195648.00, 4120.88, 500.00
14203656.00, 4245.75, 500.00
14211668.00, 4118.82, 500.00
14219676.00, 4120.88, 500.00
14227684.00, 4120.88, 500.00
14235688.00, 3998.00, 500.00
14243700.00, 4118.82, 500.00
14251708.00, 3996.00, 500.00
14259716.00, 4120.88, 500.00
14267748.00, 3984.06, 500.00
14275752.00, 4247.88, 500.00
14283756.00, 4122.94, 500.00
14291764.00, 4120.88, 500.00
14299772.00, 4245.75, 500.00
14307776.00, 4122.94, 500.00
14315784.00, 4120.88, 500.00
14323792.00, 4245.75, 500.00
14331796.00, 4122.94, 500.00
14339808.00, 4243.63, 500.00
14347820.00, 4243.63, 500.00
14355832.00, 4118.82, 500.00
14363840.00, 4245.75, 500.00
14371856.00, 4116.77, 500.00
14379868.00, 4243.63, 500.00
14387880.00, 4118.82, 500.00
14395888.00, 4120.88, 500.00
14403896.00, 4120.88, 500.00
14411904.00, 4120.88, 500.00
14419912.00, 4120.88, 500.00
14427920.00, 4120.88, 500.00
14435928.00, 3996.00, 500.00
14443932.00, 4122.94, 500.00
