// This data is used to show the mapping from input to output when under no load.
// There is a dead zone region, and the mapping may not be linear.
// Ticks / second; Input (PWM units -1024 -> 1024)
-3138.08, -360.00
-3219.63, -360.00
-3477.05, -360.00
-3812.82, -360.00
-3647.10, -360.00
-3307.80, -360.00
-3306.65, -360.00
-3566.46, -360.00
-3732.64, -360.00
-3565.22, -360.00
-3477.05, -360.00
-3567.70, -360.00
-3393.66, -360.00
-3477.05, -360.00
-3480.68, -360.00
-3511.48, -350.00
-3303.20, -350.00
-3394.85, -350.00
-3391.30, -350.00
-3384.24, -350.00
-3133.70, -350.00
-3053.04, -350.00
-3392.48, -350.00
-3654.72, -350.00
-3565.22, -350.00
-3303.20, -350.00
-3227.49, -350.00
-3399.58, -350.00
-3478.26, -350.00
-3472.22, -350.00
-3394.85, -350.00
-3480.68, -350.00
-3391.30, -350.00
-3304.35, -350.00
-3312.41, -350.00
-3428.18, -340.00
-3303.20, -340.00
-3131.52, -340.00
-3308.95, -340.00
-3305.50, -340.00
-3218.51, -340.00
-2875.57, -340.00
-2963.74, -340.00
-3304.35, -340.00
-3479.47, -340.00
-3391.30, -340.00
-3131.52, -340.00
-3129.35, -340.00
-3224.12, -340.00
-3390.13, -340.00
-3384.24, -340.00
-3225.24, -340.00
-3307.80, -340.00
-3304.35, -340.00
-3135.89, -340.00
-3093.85, -330.00
-3305.50, -330.00
-3305.50, -330.00
-3058.37, -330.00
-3051.97, -330.00
-3139.17, -330.00
-3219.63, -330.00
-3040.31, -330.00
-2787.46, -330.00
-2875.57, -330.00
-3307.80, -330.00
-3478.26, -330.00
-3225.24, -330.00
-2962.70, -330.00
-2966.84, -330.00
-3138.08, -330.00
-3388.95, -330.00
-3223.00, -330.00
-3133.70, -330.00
-3219.63, -330.00
-3259.01, -320.00
-3049.84, -320.00
-3051.97, -320.00
-3139.17, -320.00
-3217.39, -320.00
-3050.91, -320.00
-2956.52, -320.00
-3051.97, -320.00
-3139.17, -320.00
-2961.67, -320.00
-2700.35, -320.00
-2788.43, -320.00
-3051.97, -320.00
-3305.50, -320.00
-3217.39, -320.00
-3042.42, -320.00
-2790.37, -320.00
-2965.81, -320.00
-3217.39, -320.00
-3138.08, -320.00
-3090.66, -310.00
-3043.48, -310.00
-3130.43, -310.00
-3049.84, -310.00
-2957.55, -310.00
-2957.55, -310.00
-3058.37, -310.00
-3131.52, -310.00
-2875.57, -310.00
-2787.46, -310.00
-2963.74, -310.00
-3125.00, -310.00
-2791.35, -310.00
-2695.65, -310.00
-2619.63, -310.00
-2963.74, -310.00
-3139.17, -310.00
-3131.52, -310.00
-2956.52, -310.00
-2868.57, -310.00
-2751.98, -300.00
-3042.42, -300.00
-3129.35, -300.00
-3049.84, -300.00
-2965.81, -300.00
-2962.70, -300.00
-3043.48, -300.00
-2951.39, -300.00
-2701.29, -300.00
-2956.52, -300.00
-3050.91, -300.00
-2955.49, -300.00
-2703.17, -300.00
-2702.23, -300.00
-2954.47, -300.00
-2955.49, -300.00
-2700.35, -300.00
-2528.78, -300.00
-2615.06, -300.00
-2876.57, -300.00
-3091.72, -290.00
-2956.52, -290.00
-2869.57, -290.00
-2700.35, -290.00
-2701.29, -290.00
-2873.56, -290.00
-2876.57, -290.00
-2868.57, -290.00
-2867.57, -290.00
-2874.56, -290.00
-2876.57, -290.00
-2871.56, -290.00
-2613.24, -290.00
-2786.49, -290.00
-2876.57, -290.00
-2789.40, -290.00
-2778.74, -290.00
-2530.54, -290.00
-2701.29, -290.00
-2790.37, -290.00
-2747.25, -280.00
-2610.51, -280.00
-2443.28, -280.00
-2532.31, -280.00
-2701.29, -280.00
-2876.57, -280.00
-2875.57, -280.00
-2786.49, -280.00
-2531.42, -280.00
-2527.89, -280.00
-2702.23, -280.00
-2787.46, -280.00
-2867.57, -280.00
-2702.23, -280.00
-2701.29, -280.00
-2788.43, -280.00
-2787.46, -280.00
-2700.35, -280.00
-2532.31, -280.00
-2701.29, -280.00
-2750.09, -270.00
-2701.29, -270.00
-2527.89, -270.00
-2528.78, -270.00
-2531.42, -270.00
-2700.35, -270.00
-2614.15, -270.00
-2357.67, -270.00
-2353.56, -270.00
-2356.84, -270.00
-2613.24, -270.00
-2618.71, -270.00
-2702.23, -270.00
-2615.06, -270.00
-2529.66, -270.00
-2356.02, -270.00
-2440.73, -270.00
-2614.15, -270.00
-2615.06, -270.00
-2529.66, -270.00
-2579.09, -260.00
-2613.24, -260.00
-2532.31, -260.00
-2614.15, -260.00
-2439.02, -260.00
-2440.73, -260.00
-2356.02, -260.00
-2528.78, -260.00
-2615.06, -260.00
-2357.67, -260.00
-2268.76, -260.00
-2353.56, -260.00
-2443.28, -260.00
-2444.99, -260.00
-2356.02, -260.00
-2182.26, -260.00
-2182.26, -260.00
-2188.38, -260.00
-2269.55, -260.00
-2526.13, -260.00
-2492.27, -250.00
-2356.84, -250.00
-2354.38, -250.00
-2269.55, -250.00
-2182.26, -250.00
-2269.55, -250.00
-2358.49, -250.00
-2355.20, -250.00
-2270.35, -250.00
-2270.35, -250.00
-2361.79, -250.00
-2269.55, -250.00
-2271.14, -250.00
-2270.35, -250.00
-2183.02, -250.00
-2096.44, -250.00
-2181.50, -250.00
-2271.93, -250.00
-2183.02, -250.00
-2179.98, -250.00
-2068.25, -240.00
-2007.68, -240.00
-2184.55, -240.00
-2183.02, -240.00
-2096.44, -240.00
-2094.97, -240.00
-2007.68, -240.00
-1921.73, -240.00
-1921.73, -240.00
-2014.01, -240.00
-2101.58, -240.00
-2269.55, -240.00
-2182.26, -240.00
-2096.44, -240.00
-2096.44, -240.00
-2014.01, -240.00
-2009.08, -240.00
-2008.38, -240.00
-2094.97, -240.00
-2097.17, -240.00
-2152.20, -230.00
-2095.70, -230.00
-2096.44, -230.00
-2095.70, -230.00
-2096.44, -230.00
-2179.22, -230.00
-2092.78, -230.00
-2007.68, -230.00
-1920.39, -230.00
-1922.40, -230.00
-2097.17, -230.00
-2008.38, -230.00
-2008.38, -230.00
-1926.44, -230.00
-1921.73, -230.00
-1837.59, -230.00
-1925.10, -230.00
-1925.77, -230.00
